gene,log2FoldChange,pvalue,padj
Cc2d1a,-0.056183061,0.008189505,0.012603858
Stat2,-0.079264021,0.008208307,0.012631665
Gm20768,0.220556664,0.008236593,0.012674061
Zfp644,-0.063953232,0.008251942,0.012696543
Mcl1,-0.065071102,0.008252733,0.012696626
Tada3,-0.054003346,0.00825507,0.012699086
Gm4045,-0.197122456,0.008274015,0.012727092
Gm29054,0.193364595,0.008300351,0.012766461
Ube3b,-0.042579814,0.008309136,0.012778832
2610306M01Rik,0.074741996,0.008326992,0.012805148
mt-Nd2,-0.121414666,0.008335722,0.012817428
Klhl42,-0.07897157,0.008359678,0.012853116
Abhd11,-0.064998182,0.008363569,0.012857951
Stx1b,-0.055103559,0.008367995,0.012863606
Srcap,0.116303446,0.008372448,0.012869302
Kdm5a,-0.066856908,0.008384515,0.0128867
Cmtm8,0.180024142,0.008389204,0.012892756
Zfp979,0.271332961,0.008391772,0.012895551
Zfp932,-0.107038795,0.008393323,0.012896784
Pak5,0.07033375,0.008396008,0.012899757
Toe1,0.057538752,0.008417676,0.012931894
Grk4,-0.088676491,0.008432487,0.012953492
Inha,-0.148721499,0.008443128,0.012968681
Caskin2,-0.070500401,0.00845086,0.0129794
Rnf113a2,-0.052182842,0.008454528,0.012983874
Ctdsp2,0.038931513,0.008461379,0.012993236
Mtap,-0.049890356,0.008475106,0.013013155
Mctp1,-0.070464445,0.008497283,0.013046043
Nol12,0.05829768,0.008500455,0.013049749
Psma3,-0.052599588,0.008517349,0.013074518
Recql,0.049552361,0.008519508,0.013076667
Nudt14,0.093742866,0.008520594,0.013077167
Baiap2l2,0.271295622,0.008526086,0.01308443
Lrp6,-0.078392749,0.008541354,0.013106691
Pnma1,0.100304026,0.00854641,0.013113282
Trmt2b,0.056435287,0.008548985,0.013116063
Dusp7,-0.07717038,0.008554461,0.013123295
Gm13688,0.175711414,0.00856094,0.013132064
Ahdc1,0.08425259,0.00857,0.01314479
Ppm1d,-0.0573735,0.008582095,0.013162169
Slc50a1,0.085376775,0.008585935,0.013166885
Mtif2,0.0639901,0.008591643,0.013174465
Ptprh,0.330646336,0.008609211,0.013200227
Morf4l1-ps1,-0.08400544,0.008643418,0.013251496
Lta,0.30480481,0.008683908,0.013311201
Tmem191,-0.124318614,0.008683238,0.013311201
Rsbn1l,-0.064147984,0.008692201,0.013322728
Thumpd3,-0.048228838,0.008757829,0.013422122
Cnnm3,0.045138642,0.008763654,0.013429853
Spr,-0.060567701,0.008767973,0.013435275
Nhej1,0.077202143,0.00877158,0.013439607
Cdk7,-0.052593955,0.008776352,0.013445721
3010001F23Rik,0.150601591,0.008813271,0.013501081
Tpst1,-0.036381264,0.008842026,0.013543925
E2f4,-0.0523064,0.008858512,0.013567971
Ift56,-0.068306593,0.008864517,0.01357596
