gene,log2FoldChange,pvalue,padj
Gins3,0.197145562,3.74E-08,1.04E-07
Gm16973,-0.219378974,4.16E-08,1.15E-07
Pim3,-0.171981186,2.14E-08,6.11E-08
Slc16a11,0.423257869,3.47E-08,9.70E-08
Slc16a12,0.575016198,3.48E-08,9.72E-08
Pag1,-0.164439526,2.05E-08,5.87E-08
Gstm2,0.545865113,4.30E-08,1.19E-07
Tspan4,0.252506277,2.80E-08,7.89E-08
Arhgef18,-0.11963932,1.99E-08,5.69E-08
Sh3bgrl2,0.142839079,2.03E-08,5.79E-08
Dtd2,0.116372392,2.79E-08,7.86E-08
Rab40b,0.158739105,2.05E-08,5.85E-08
Ero1a,-0.125808212,2.08E-08,5.95E-08
Fam185a,0.098850201,2.37E-08,6.74E-08
Thap7,0.139409595,2.48E-08,7.04E-08
Ablim2,-0.136445727,2.06E-08,5.88E-08
Mrpl23,-0.138466304,2.61E-08,7.38E-08
Map3k10,-0.170616251,2.06E-08,5.89E-08
Gm43737,-0.160223895,3.14E-08,8.82E-08
Eid1,-0.172605875,2.09E-08,5.96E-08
Dusp19,-0.158269825,2.56E-08,7.24E-08
Ttbk2,-0.197808576,2.08E-08,5.94E-08
Kcp,0.41012236,5.58E-08,1.53E-07
Slc26a4,0.200447489,2.43E-08,6.88E-08
Actn4,0.098172099,2.09E-08,5.96E-08
Slc45a4,-0.13376556,2.12E-08,6.04E-08
Efhc1,0.493309389,4.92E-08,1.35E-07
Rhot1,-0.091145022,2.12E-08,6.04E-08
Kcng1,0.265406225,2.18E-08,6.22E-08
Col20a1,0.313675081,4.78E-08,1.32E-07
C1rl,0.616080993,6.60E-08,1.79E-07
Hhat,0.310444032,5.90E-08,1.61E-07
A330023F24Rik,-0.48456852,2.98E-08,8.38E-08
Fbxo31,-0.131229865,2.21E-08,6.28E-08
Fank1,0.207809328,4.29E-08,1.19E-07
Gm48408,-0.408187306,4.13E-08,1.15E-07
Hsf1,-0.143463111,2.41E-08,6.84E-08
Gbp4,0.45669732,5.35E-08,1.47E-07
Rpp14,-0.088280876,2.40E-08,6.81E-08
Tmem145,-0.284276242,2.93E-08,8.23E-08
Zfp141,-0.131598749,2.87E-08,8.09E-08
Hnrnpl,0.110621849,2.33E-08,6.62E-08
Stx3,0.141052447,2.76E-08,7.78E-08
Gm10687,0.379196422,6.19E-08,1.69E-07
Gabrg3,-0.358918605,2.65E-08,7.48E-08
Chgb,-0.219883855,2.49E-08,7.06E-08
Gm14117,-0.121157751,3.49E-08,9.75E-08
Ppig,-0.108965628,2.43E-08,6.88E-08
Dennd1c,0.504030476,6.94E-08,1.88E-07
Zfp850,-0.152542366,3.35E-08,9.39E-08
Snrpb,-0.113668654,2.51E-08,7.12E-08
Ptn,0.160474637,2.49E-08,7.05E-08
Pcgf5,-0.162075967,2.86E-08,8.05E-08
Arpc2,-0.126928218,2.51E-08,7.11E-08
Cdkn2d,-0.118084758,2.61E-08,7.39E-08
H2bc27,0.171786971,3.27E-08,9.15E-08
Tmem200c,0.159250856,3.47E-08,9.70E-08
Pfkfb4,0.144974759,3.47E-08,9.70E-08
Evc,0.193094159,3.55E-08,9.90E-08
Gigyf2,-0.124646981,2.54E-08,7.20E-08
Knop1,0.101734728,2.81E-08,7.92E-08
Fam183b,0.280008656,4.56E-08,1.26E-07
Rarb,-0.23012357,5.77E-08,1.58E-07
Ppfia3,-0.1454913,2.59E-08,7.34E-08
Slc66a3,0.419293237,4.76E-08,1.31E-07
Farsb,-0.116335432,2.62E-08,7.40E-08
Mfsd14b,-0.106103986,2.62E-08,7.41E-08
Mink1,-0.122519033,2.66E-08,7.51E-08
Tmem171,-0.647706716,8.05E-08,2.17E-07
Calu,0.096022397,2.63E-08,7.44E-08
Fzd7,0.272119065,3.14E-08,8.82E-08
Mpv17,0.100578461,2.78E-08,7.84E-08
Atxn1,-0.197678744,2.68E-08,7.56E-08
Ppp1r14b,0.214007103,3.56E-08,9.93E-08
Bnip2,0.110006374,2.95E-08,8.30E-08
Prdm9,0.349251415,6.14E-08,1.68E-07
Dtx3l,0.168673075,4.01E-08,1.11E-07
BC025920,0.156883672,4.48E-08,1.24E-07
Sdsl,0.275751915,5.92E-08,1.62E-07
Braf,-0.212028454,2.74E-08,7.74E-08
Zdhhc1,0.1522864,3.17E-08,8.88E-08
Vcpkmt,-0.137057105,3.89E-08,1.08E-07
Ptpa,-0.09704651,2.76E-08,7.79E-08
Ly6g6f,0.458426181,8.32E-08,2.24E-07
Gm5776,-0.189260857,4.98E-08,1.37E-07
Cyfip2,-0.154503845,2.92E-08,8.22E-08
Proser2,-0.244021484,6.26E-08,1.71E-07
Mcm4,0.1313661,3.47E-08,9.71E-08
Slc41a3,0.19304965,4.95E-08,1.36E-07
Gm6712,-0.165081953,4.92E-08,1.35E-07
Gm56860,0.189189158,5.91E-08,1.62E-07
Phf20,-0.149852278,2.82E-08,7.94E-08
Crbn,-0.116832366,2.82E-08,7.95E-08
Synj1,-0.201231776,2.91E-08,8.20E-08
Adcy2,0.113857255,2.84E-08,7.99E-08
Yipf3,-0.115414019,2.90E-08,8.16E-08
Cpxm2,0.266832142,6.02E-08,1.64E-07
Trio,-0.186498789,2.87E-08,8.08E-08
Kif4,0.269845948,6.92E-08,1.87E-07
Usp28,-0.162631506,3.46E-08,9.68E-08
Asrgl1,0.124852966,2.93E-08,8.24E-08
Zfp72,-0.15478759,3.99E-08,1.11E-07
Gm38414,0.431033669,8.70E-08,2.34E-07
Zfp119b,0.191601049,5.60E-08,1.54E-07
Atp1a3,-0.150813181,3.21E-08,8.99E-08
Clec3b,0.630235866,5.70E-08,1.56E-07
Anapc16,-0.107638665,3.05E-08,8.56E-08
Syna,-0.282687304,4.58E-08,1.27E-07
Selenoi,-0.127076477,2.99E-08,8.41E-08
Crb2,0.340179957,4.49E-08,1.24E-07
Tafazzin,0.156601786,3.43E-08,9.58E-08
Klhdc8a,0.252019148,4.18E-08,1.16E-07
Tatdn1,0.130105583,4.55E-08,1.26E-07
Rxrb,-0.099192478,3.07E-08,8.62E-08
Zfp536,-0.17759522,3.32E-08,9.30E-08
Pam,-0.100975329,3.07E-08,8.62E-08
Mrps30,-0.084717747,3.41E-08,9.56E-08
Pdp2,0.127397819,3.95E-08,1.10E-07
Ephb6,0.18231943,3.08E-08,8.65E-08
Rnf122,0.225747786,5.29E-08,1.45E-07
Them6,-0.164053464,3.32E-08,9.29E-08
Nudc-ps1,-0.126883122,3.65E-08,1.02E-07
Slc26a7,0.971114558,7.96E-08,2.14E-07
